case,entries,time(s),memory(kb)
best_case,10000,0.003825,4948
best_case,100000,0.058746,5256
best_case,1000000,0.921698,8684
best_case,10000000,12.950899,44048
best_case,100000000,139.388585,396080
best_case,1000000000,1480.420574,3915108
random_case,10000,0.006164,4984
random_case,100000,0.059321,5412
random_case,1000000,0.876182,8604
random_case,10000000,12.794312,44064
random_case,100000000,139.075273,395972
random_case,1000000000,1477.753128,3915060
worst_case,10000,0.004482,4924
worst_case,100000,0.058996,5304
worst_case,1000000,0.893800,8836
worst_case,10000000,12.853536,44060
worst_case,100000000,138.682677,395976
worst_case,1000000000,1473.778958,3915104
